"DateTime"," NDSI (Landsat 5/7/8 SR) at Polygon 1, 2019-08-15 to 2021-10-18"," NDSI (Landsat 5/7/8 SR) at Polygon 2, 2019-08-15 to 2021-10-18"
"2019-08-17",-0.5401
"2019-08-18",-0.5101,-0.5115
"2019-08-25",-0.5066,-0.4953
"2019-08-26",-0.525,-0.5417
"2019-09-02",-0.5355,-0.553
"2019-09-03",-0.5013,-0.4998
"2019-09-10",-0.3634,-0.4924
"2019-09-11",-0.5279,-0.5387
"2019-09-18",-0.5168
"2019-09-19",-0.5158,-0.5088
"2019-09-26",-0.3425,-0.3228
"2019-09-27",-0.522,-0.5344
"2019-10-04",-0.5191,-0.5212
"2019-10-05",-0.3963
"2019-10-12",-0.4473,-0.264
"2019-10-13",-0.5327,-0.5333
"2019-10-20",-0.5194,-0.4662
"2019-11-05",-0.3058,-0.2714
"2019-11-06",-0.3322,-0.1464
"2019-11-13",-0.2784
"2019-11-14",-0.4888,-0.4429
"2019-11-29",0.1004,0.1444
"2019-12-07",-0.3786,-0.3272
"2019-12-31",0.1298,0.4307
"2020-01-08",-0.398,-0.3488
"2020-01-09",-0.3353,-0.104
"2020-01-24",-0.3979,-0.2901
"2020-01-25",-0.3825,-0.0425
"2020-02-02",-0.4125,-0.292
"2020-02-10",0.7758
"2020-02-17",0.2859,0.3261
"2020-02-26",0.005,0.2549
"2020-03-04",-0.2345,-0.0416
"2020-03-05",-0.3211,-0.287
"2020-03-21",-0.0054
"2020-03-28",-0.0914,-0.0104
"2020-04-05",-0.4901,-0.3393
"2020-04-06",-0.5069,-0.4686
"2020-04-13",-0.2325
"2020-04-14",-0.0368
"2020-04-21",-0.4795,-0.4066
"2020-04-29",-0.5166,-0.5476
"2020-05-07",-0.4915,-0.4925
"2020-05-08",-0.5051,-0.5306
"2020-05-16",-0.486
"2020-05-23",-0.4668,-0.2907
"2020-05-31",-0.5208,-0.5451
"2020-06-01",-0.4952,-0.5017
"2020-06-08",-0.5206,-0.5273
"2020-06-16",-0.4755,-0.4942
"2020-06-17",-0.4875,-0.4628
"2020-06-24",-0.3724
"2020-07-02",-0.5267,-0.5087
"2020-07-03",-0.3886,-0.3557
"2020-07-10",-0.5247,-0.5356
"2020-07-11",-0.5211,-0.5473
"2020-07-19",-0.4063,-0.3951
"2020-07-26",-0.5086,-0.4848
"2020-07-27",-0.423
"2020-08-03",-0.5188,-0.5235
"2020-08-11",-0.515,-0.2341
"2020-08-12",-0.5315
"2020-08-19",-0.4843,-0.5389
"2020-08-20",-0.3693,-0.3452
"2020-08-27",-0.5225,-0.509
"2020-08-28",-0.4524,-0.4804
"2020-09-04",-0.5397,-0.5614
"2020-09-05",-0.5144,-0.5078
"2020-09-12",-0.5294,-0.5153
"2020-09-13",-0.5331,-0.552
"2020-09-20",-0.5153,-0.532
"2020-09-21",-0.504,-0.4756
"2020-09-28",-0.5061,-0.461
"2020-09-29",-0.535,-0.5525
"2020-10-06",-0.5296,-0.5449
"2020-10-07",-0.4867,-0.4443
"2020-10-14",-0.5206,-0.4949
"2020-10-22",-0.5268,-0.5358
"2020-10-30",-0.3327,-0.0676
"2020-10-31",-0.4733,-0.3094
"2020-11-08",-0.4917,-0.4168
"2020-11-15",-0.4858,-0.4
"2020-11-16",-0.5191,-0.521
"2020-11-23",-0.4661,-0.3976
"2020-12-09",-0.2521,-0.2962
"2020-12-17",0.0824,0.124
"2020-12-25",-0.4,-0.3614
"2020-12-26",-0.3405,0.0309
"2021-01-02",-0.0636,0.2034
"2021-01-03",-0.2907,-0.3639
"2021-01-10",-0.2148,-0.098
"2021-01-11",-0.2268,0.169
"2021-01-18",-0.1402,-0.0554
"2021-01-27",0.6112
"2021-02-03",-0.3772,-0.1066
"2021-02-04",-0.1722
"2021-02-11",-0.4622,-0.3054
"2021-02-12",-0.3981,-0.1051
"2021-02-19",0.0312,0.2815
"2021-02-20",-0.2181,-0.2616
"2021-02-28",-0.2831,-0.0185
"2021-03-07",-0.2753,0.052
"2021-03-24",0.0057
"2021-03-31",-0.3711,-0.3565
"2021-04-01",-0.3821,-0.1323
"2021-04-08",-0.2832
"2021-04-09",-0.5041,-0.4694
"2021-04-24",-0.4961,-0.4608
"2021-04-25",-0.5068,-0.5281
"2021-05-02",-0.5043,-0.542
"2021-05-19",-0.4824,-0.4818
"2021-05-26",-0.2831
"2021-05-27",-0.5149,-0.541
"2021-06-03",-0.523,-0.5085
"2021-06-04",-0.5081,-0.5097
"2021-06-11",-0.4998,-0.4807
"2021-06-12",-0.5103,-0.5317
"2021-06-19",-0.3379
"2021-06-20",-0.4999,-0.4915
"2021-07-05",-0.5343,-0.5546
"2021-07-06",-0.5047,-0.4955
"2021-07-13",-0.0587,-0.2736
"2021-07-21",-0.5331,-0.5413
"2021-07-22",-0.5059,-0.5024
"2021-07-29",-0.5102,-0.4977
"2021-07-30",-0.5231,-0.5452
"2021-08-06",-0.4844,-0.5474
"2021-08-07",-0.1696
"2021-08-14",-0.5058,-0.5045
"2021-08-15",-0.4967,-0.5292
"2021-08-22",-0.5376,-0.5478
"2021-08-23",-0.4755,-0.4792
"2021-08-30",-0.4908,-0.4219
"2021-08-31",-0.5137,-0.4771
"2021-09-07",-0.4942,-0.5196
"2021-09-08",-0.4889,-0.4199
"2021-09-15",-0.5356,-0.5169
"2021-09-16",-0.5352,-0.5432
"2021-09-24",-0.5053,-0.4574
"2021-10-01",-0.1101,0.1101
"2021-10-02",-0.4944,-0.5141
"2021-10-09",-0.5337,-0.5471
"2021-10-10",-0.5004,-0.4522
"2021-10-17",-0.53,-0.4931
"2021-10-18",-0.5008,-0.5416
