"DateTime"," NDWI (NIR/SWIR1) (Landsat 5/7/8 SR) at Polygon 1, 2019-08-15 to 2021-10-18"," NDWI (NIR/SWIR1) (Landsat 5/7/8 SR) at Polygon 2, 2019-08-15 to 2021-10-18"
"2019-08-17",-0.0072
"2019-08-18",-0.1744,-0.0224
"2019-08-25",-0.178,-0.0239
"2019-08-26",-0.1638,-0.0107
"2019-09-02",-0.1733,-0.0095
"2019-09-03",-0.189,-0.0135
"2019-09-10",-0.0879,0.0203
"2019-09-11",-0.1676,0.0041
"2019-09-18",-0.1445
"2019-09-19",-0.191,-0.0025
"2019-09-26",-0.0944,0.031
"2019-09-27",-0.1653,-0.0004
"2019-10-04",-0.1671,0.0556
"2019-10-05",-0.1347
"2019-10-12",-0.1602,0.0675
"2019-10-13",-0.1913,0.0384
"2019-10-20",-0.1798,0.1058
"2019-11-05",-0.0247,0.2387
"2019-11-06",-0.0918,0.2462
"2019-11-13",-0.0938
"2019-11-14",-0.1559,0.1731
"2019-11-29",0.2103,0.3421
"2019-12-07",-0.061,0.418
"2019-12-31",0.2496,0.6615
"2020-01-08",-0.0827,0.3935
"2020-01-09",-0.1155,0.2663
"2020-01-24",-0.1086,0.3407
"2020-01-25",-0.1553,0.3372
"2020-02-02",-0.1319,0.6327
"2020-02-10",0.7332
"2020-02-17",0.3166,0.5526
"2020-02-26",0.1366,0.4962
"2020-03-04",-0.0721,0.233
"2020-03-05",-0.0893,0.2002
"2020-03-21",0.1755
"2020-03-28",0.1083,0.2195
"2020-04-05",-0.2529,0.0691
"2020-04-06",-0.2322,0.0287
"2020-04-13",0.0845
"2020-04-14",0.1077
"2020-04-21",-0.2465,0.0023
"2020-04-29",-0.2307,-0.0545
"2020-05-07",-0.2387,-0.0584
"2020-05-08",-0.2132,-0.0542
"2020-05-16",-0.222
"2020-05-23",-0.1899,-0.01
"2020-05-31",-0.1825,-0.0377
"2020-06-01",-0.2008,-0.0443
"2020-06-08",-0.2009,-0.0318
"2020-06-16",-0.1348,-0.008
"2020-06-17",-0.1793,-0.0168
"2020-06-24",-0.091
"2020-07-02",-0.181,-0.0007
"2020-07-03",-0.1229,0.0155
"2020-07-10",-0.2034,-0.0377
"2020-07-11",-0.1807,-0.0314
"2020-07-19",-0.1162,0.0446
"2020-07-26",-0.19,0.0149
"2020-07-27",-0.1043
"2020-08-03",-0.1613,-0.0041
"2020-08-11",-0.1965,0.1541
"2020-08-12",0.0112
"2020-08-19",-0.1507,-0.0135
"2020-08-20",-0.1266,0.0691
"2020-08-27",-0.1988,0.0069
"2020-08-28",-0.111,0.0081
"2020-09-04",-0.1922,-0.0159
"2020-09-05",-0.2055,-0.0104
"2020-09-12",-0.215,0.0001
"2020-09-13",-0.19,-0.0046
"2020-09-20",-0.1619,0.0117
"2020-09-21",-0.204,0.0027
"2020-09-28",-0.2106,0.0358
"2020-09-29",-0.1976,0.0088
"2020-10-06",-0.2004,0.018
"2020-10-07",-0.2145,0.0232
"2020-10-14",-0.2262,0.027
"2020-10-22",-0.2048,0.0529
"2020-10-30",-0.0886,0.2966
"2020-10-31",-0.1612,0.2303
"2020-11-08",-0.2025,0.1384
"2020-11-15",-0.21,0.1456
"2020-11-16",-0.1993,0.1187
"2020-11-23",-0.1426,0.1108
"2020-12-09",0.0275,0.4201
"2020-12-17",0.1707,0.2767
"2020-12-25",-0.0866,0.4207
"2020-12-26",-0.1305,0.4027
"2021-01-02",0.0872,0.5234
"2021-01-03",0.0103,0.4716
"2021-01-10",0.2796,0.8111
"2021-01-11",-0.0328,0.488
"2021-01-18",-0.02,0.1963
"2021-01-27",0.7122
"2021-02-03",-0.1419,0.3291
"2021-02-04",0.2314
"2021-02-11",-0.1732,0.2584
"2021-02-12",-0.174,0.2947
"2021-02-19",0.1602,0.5486
"2021-02-20",0.0003,0.2777
"2021-02-28",-0.0946,0.2796
"2021-03-07",-0.0848,0.2544
"2021-03-24",0.2237
"2021-03-31",-0.117,0.1705
"2021-04-01",-0.1824,0.1791
"2021-04-08",0.0646
"2021-04-09",-0.2335,0.0131
"2021-04-24",-0.2573,-0.0114
"2021-04-25",-0.2349,-0.0393
"2021-05-02",-0.2165,-0.0415
"2021-05-19",-0.2122,-0.0137
"2021-05-26",0.0253
"2021-05-27",-0.198,-0.0581
"2021-06-03",-0.1874,-0.0445
"2021-06-04",-0.1992,-0.0365
"2021-06-11",-0.1804,-0.0228
"2021-06-12",-0.1678,-0.038
"2021-06-19",0.0014
"2021-06-20",-0.1686,0.0053
"2021-07-05",-0.1509,-0.0229
"2021-07-06",-0.1513,0.0014
"2021-07-13",0.1519,0.1177
"2021-07-21",-0.142,-0.0085
"2021-07-22",-0.1368,0.0425
"2021-07-29",-0.1515,0.0246
"2021-07-30",-0.1413,-0.0114
"2021-08-06",-0.0933,-0.0428
"2021-08-07",-0.0433
"2021-08-14",-0.1412,0.0325
"2021-08-15",-0.0984,0.0206
"2021-08-22",-0.1451,0.0116
"2021-08-23",-0.1332,0.0182
"2021-08-30",-0.1521,0.0613
"2021-08-31",-0.1548,0.0253
"2021-09-07",-0.1332,0.015
"2021-09-08",-0.1494,0.0573
"2021-09-15",-0.1753,0.0248
"2021-09-16",-0.1669,0.0104
"2021-09-24",-0.1668,0.0581
"2021-10-01",0.0539,0.2105
"2021-10-02",-0.1213,0.165
"2021-10-09",-0.1722,0.0397
"2021-10-10",-0.1784,0.0749
"2021-10-17",-0.2015,0.0752
"2021-10-18",-0.1537,-0.0186
